season,player_id,player,position,adp_half_ppr,adp_pos_rank,p_clear_5_games,conditional_games,conditional_half_ppr_per_game,lightgbm_hurdle_raw,extra_trees_hurdle_raw,direct_half_ppr_raw,ridge_hurdle_raw,calibrated_affine_half_ppr,calibration_train_rows,calibration_slope,projected_half_ppr,projected_pos_rank,v6_direct_half_ppr_raw,sleeper_half_ppr_raw
2026,00-0033293,Aaron Jones,RB,107.4,36.0,0.8870387929299336,13.778827783481198,7.937300837491104,97.01250671273358,132.20400951249314,106.5047222419024,60.002372742382896,117.77821122777353,360,1.0705695388587408,117.77821122777353,34,96.40629632253653,136.8
2026,00-0040236,Kyle Monangai,RB,78.8,30.0,0.9748902516216743,13.615890627455713,7.3805152362008615,97.96895215895434,113.51173670590526,105.1994847974928,66.21725032511165,116.38086377881078,360,1.0705695388587408,116.38086377881078,35,92.56597972999042,143.1
2026,00-0036919,Kenny Gainwell,RB,109.8,37.0,0.9821423923977244,15.795932115689556,8.759167759882956,135.88845467818385,104.49460721574175,102.42902161003649,53.133024546220334,113.41489028179055,360,1.0705695388587408,113.41489028179055,36,97.83869548004866,116.2
2026,00-0040719,Bhayshul Tuten,RB,54.1,22.0,0.9620082404463708,13.068100389044211,7.9042571938217145,99.36931988790865,97.47182523508388,102.24772776807052,59.2497659492895,113.22080261699911,360,1.0705695388587408,113.22080261699911,37,85.36363702409402,152.9
2026,00-0036139,Rico Dowdle,RB,83.2,32.0,0.9592303091780211,13.868392502190089,8.207699136285092,109.18687738166804,106.22445102179518,100.6758158669175,50.6919350642068,111.53796161785516,360,1.0705695388587408,111.53796161785516,38,88.70108782255666,136.6
2026,00-0037256,Rachaad White,RB,119.0,43.0,0.9779498032254119,15.300447838860267,7.738909087169184,115.79783803334094,96.29115183450787,99.60764364711498,79.64158472061115,110.39440897707946,360,1.0705695388587408,110.39440897707946,39,97.24352486281998,106.7
2026,00-0039384,Tyrone Tracy,RB,131.4,47.0,0.9661141743998289,14.767859475606308,7.6335076393996815,108.9105997533426,104.39900802290106,97.47555352666312,75.79260633040884,108.11185824002203,360,1.0705695388587408,108.11185824002203,40,96.36740470221748,100.8
2026,00-0040583,Woody Marks,RB,127.8,46.0,0.9702162836485086,14.141990330016633,9.06538517308466,124.38423989576596,104.63754299687263,96.04387220469484,80.85370592614073,106.57914382736978,360,1.0705695388587408,106.57914382736978,41,103.29182960625978,74.3
2026,00-0039738,Blake Corum,RB,90.8,34.0,0.9743091307230124,14.89157091636403,7.077264045736333,102.68397814086109,99.66643548443822,95.84448074357158,53.22750934898697,106.36568140278268,360,1.0705695388587408,106.36568140278268,42,85.19264099142877,127.8
2026,00-0038611,Chris Rodriguez,RB,166.8,57.0,0.964114207509878,14.27923239021698,8.754529128895676,120.52194633343997,78.62242064490435,95.67750988282809,58.56567255296804,106.18692748539368,360,1.0705695388587408,106.18692748539368,43,85.90334651043746,125.0
