season,week,player_id,player_display_name,position,team,opponent_team,lambda,p_ge1,p_ge2,p_book,n_books,fair_amer,book_amer,sleeper_half_ppr,scoring_tds,scored_anytime
2025,17,00-0038543,Jaxon Smith-Njigba,WR,SEA,CAR,0.5899831123958409,0.44566335392668865,0.11861409416128477,0.49265865792986296,6.0,124,103,16.97,0.0,0
2025,17,00-0036912,DeVonta Smith,WR,PHI,BUF,0.5816592992300451,0.4410299020124937,0.11589974652653112,0.29411764705882354,8.0,127,240,10.69,0.0,0
2025,17,00-0039384,Tyrone Tracy Jr.,RB,NYG,LV,0.571759787697341,0.4354688908489588,0.11269270373221496,0.4,8.0,130,150,10.91,0.0,0
2025,17,00-0036875,Rhamondre Stevenson,RB,NE,NYJ,0.5585149028845692,0.42794200500158197,0.10843908948069925,0.49142719149963776,8.0,134,103,9.04,2.0,1
2025,17,00-0032764,Derrick Henry,RB,BAL,GB,0.5445402374313866,0.41989156581911524,0.10399918133430641,0.5357604480827229,8.0,138,-115,14.86,4.0,1
2025,17,00-0038134,Kenneth Walker III,RB,SEA,CAR,0.5388221356745165,0.4165649448479596,0.10219722240355777,0.4484665661136249,6.0,140,123,11.65,0.0,0
2025,17,00-0033293,Aaron Jones,RB,MIN,DET,0.5354628090490389,0.41460170018920295,0.10114268215998223,0.41241496598639454,8.0,141,142,12.12,1.0,1
2025,17,00-0033090,Hunter Henry,TE,NE,NYJ,0.5201779791779964,0.4055852548926028,0.09638379398903307,0.4347826086956522,8.0,147,130,9.24,1.0,1
2025,17,00-0036358,CeeDee Lamb,WR,DAL,WAS,0.5103370898278377,0.3997068080258245,0.0933549273902603,0.4819976771196284,8.0,150,107,15.96,0.0,0
2025,17,00-0040242,Jacory Croskey-Merritt,RB,WAS,DAL,0.5086948304168969,0.39872016093849927,0.09285221517401021,0.425531914893617,7.0,151,135,11.69,2.0,1
2025,17,00-0040666,Omarion Hampton,RB,LAC,HOU,0.4936562763767855,0.38960944731042246,0.08828631993411751,0.44248653940283894,8.0,157,126,14.13,1.0,1
2025,17,00-0039165,Zach Charbonnet,RB,SEA,CAR,0.4902491575098841,0.38752622726826813,0.08726147618963631,0.49019607843137253,7.0,158,104,8.73,2.0,1
