player_id,player,position,yahoo_id,yahoo_adp,yahoo_pos_rank,refreshed_at,adp_source,adp_matched
00-0038997,Josh Downs,WR,40126,107.3,41,2026-09-01,fresh,True
00-0036322,Justin Jefferson,WR,32692,13.1,6,2026-09-01,fresh,True
CON046719,KC Concepcion,WR,42646,124.6,47,2026-09-01,fresh,True
00-0038608,Kayshon Boutte,WR,40224,,,2026-09-01,unmatched,False
00-0037261,Khalil Shakir,WR,34104,131.0,57,2026-09-01,fresh,True
00-0039915,Ladd McConkey,WR,40908,44.8,19,2026-09-01,fresh,True
00-0040735,Luther Burden,WR,41824,58.4,24,2026-09-01,fresh,True
LEM694125,Makai Lemon,WR,42642,115.8,43,2026-09-01,fresh,True
00-0039337,Malik Nabers,WR,40899,30.9,12,2026-09-01,fresh,True
00-0039849,Marvin Harrison,WR,40893,78.4,30,2026-09-01,fresh,True
00-0040667,Matthew Golden,WR,41808,126.4,50,2026-09-01,fresh,True
00-0036252,Michael Pittman,WR,32704,120.6,46,2026-09-01,fresh,True
00-0038559,Michael Wilson,WR,40121,101.2,38,2026-09-01,fresh,True
00-0031408,Mike Evans,WR,27535,68.8,29,2026-09-01,fresh,True
00-0036554,Nico Collins,WR,33477,21.9,8,2026-09-01,fresh,True
COO816508,Omar Cooper,WR,42652,,,2026-09-01,unmatched,False
00-0038606,Parker Washington,WR,40234,78.6,31,2026-09-01,fresh,True
00-0040134,Pat Bryant,WR,41860,,,2026-09-01,unmatched,False
00-0039075,Puka Nacua,WR,40168,4.9,2,2026-09-01,fresh,True
00-0038544,Quentin Johnston,WR,40051,110.4,42,2026-09-01,fresh,True
00-0039067,Rashee Rice,WR,40084,35.3,15,2026-09-01,fresh,True
00-0037545,Rashid Shaheed,WR,34659,128.3,53,2026-09-01,fresh,True
00-0039919,Rome Odunze,WR,40901,66.6,27,2026-09-01,fresh,True
00-0037816,Romeo Doubs,WR,34088,132.0,59,2026-09-01,fresh,True
00-0031588,Stefon Diggs,WR,28534,104.6,39,2026-09-01,fresh,True
00-0036410,Tee Higgins,WR,32703,33.4,14,2026-09-01,fresh,True
00-0035659,Terry McLaurin,WR,31908,54.1,22,2026-09-01,fresh,True
00-0040124,Tetairoa McMillan,WR,41793,41.7,18,2026-09-01,fresh,True
00-0040718,Travis Hunter,WR,99001,125.8,48,2026-09-01,fresh,True
00-0040727,Tre' Harris,WR,41840,,,2026-09-01,unmatched,False
00-0039868,Troy Franklin,WR,41009,,,2026-09-01,unmatched,False
00-0038117,Wan'Dale Robinson,WR,33998,130.6,56,2026-09-01,fresh,True
00-0039894,Xavier Worthy,WR,40877,129.1,54,2026-09-01,fresh,True
00-0039064,Zay Flowers,WR,40039,35.8,16,2026-09-01,fresh,True
